Customer ID,Age,Age Range,Gender,Item Purchased,Category,Purchase Amount (USD),Previous Purchases,Total Purchases,Location,Size,Color,Season,Review Rating,Review Ratings,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchase,Preferred Payment Method,Frequency of Purchases
1,55,55+,Male,Blouse,Clothing,$53 ,14,$742 ,Kentucky,L,Gray,Winter,3.1,3,Yes,Credit Card,Express,Yes,Yes,Below 20 Purchases,Venmo,Fortnightly
2,19,18 - 24,Male,Sweater,Clothing,$64 ,2,$128 ,Maine,L,Maroon,Winter,3.1,3,Yes,Bank Transfer,Express,Yes,Yes,Below 10 Puchases,Cash,Fortnightly
3,50,45 - 54,Male,Jeans,Clothing,$73 ,23,"$1,679 ",Massachusetts,S,Maroon,Spring,3.1,3,Yes,Cash,Free Shipping,Yes,Yes,Below 30 Purchases,Credit Card,Weekly
4,21,18 - 24,Male,Sandals,Footwear,$90 ,49,"$4,410 ",Rhode Island,M,Maroon,Spring,3.5,3,Yes,PayPal,Next Day Air,Yes,Yes,Below 50 Purchases,PayPal,Weekly
5,45,45 - 54,Male,Blouse,Clothing,$49 ,31,"$1,519 ",Oregon,M,Turquoise,Spring,2.7,2,Yes,Cash,Free Shipping,Yes,Yes,Below 40 Purchases,PayPal,Annually
6,46,45 - 54,Male,Sneakers,Footwear,$20 ,14,$280 ,Wyoming,M,White,Summer,2.9,2,Yes,Venmo,Standard,Yes,Yes,Below 20 Purchases,Venmo,Weekly
7,63,55+,Male,Shirt,Clothing,$85 ,49,"$4,165 ",Montana,M,Gray,Fall,3.2,3,Yes,Debit Card,Free Shipping,Yes,Yes,Below 50 Purchases,Cash,Quarterly
8,27,25 - 34,Male,Shorts,Clothing,$34 ,19,$646 ,Louisiana,L,Charcoal,Winter,3.2,3,Yes,Debit Card,Free Shipping,Yes,Yes,Below 20 Purchases,Credit Card,Weekly
9,26,25 - 34,Male,Coat,Outerwear,$97 ,8,$776 ,West Virginia,L,Silver,Summer,2.6,2,Yes,Venmo,Express,Yes,Yes,Below 10 Puchases,Venmo,Annually
10,57,55+,Male,Handbag,Accessories,$31 ,4,$124 ,Missouri,M,Pink,Spring,4.8,4,Yes,PayPal,2-Day Shipping,Yes,Yes,Below 10 Puchases,Cash,Quarterly
